"","variable","epiwk","Week","2016-2017","2017-2018","2018-2019","2019-2020"
"1","All.Deaths",1,27,49672,50939,51652,52329
"2","All.Deaths",2,28,49622,49956,51161,51918
"3","All.Deaths",3,29,49250,50097,50576,51624
"4","All.Deaths",4,30,49666,49281,50237,51624
"5","All.Deaths",5,31,49475,50019,50599,51367
"6","All.Deaths",6,32,49711,50220,50928,51656
"7","All.Deaths",7,33,49769,50167,50259,50941
"8","All.Deaths",8,34,49471,49494,50422,50977
"9","All.Deaths",9,35,49530,50802,50564,51117
"10","All.Deaths",10,36,50019,50959,50244,51782
"11","All.Deaths",11,37,49878,51668,51044,51560
"12","All.Deaths",12,38,49795,51206,51525,51688
"13","All.Deaths",13,39,50144,51320,50931,52698
"14","All.Deaths",14,40,51274,52076,52333,52476
"15","All.Deaths",15,41,51950,51538,51815,52882
"16","All.Deaths",16,42,51252,52188,52948,54162
"17","All.Deaths",17,43,51690,52521,53735,53939
"18","All.Deaths",18,44,51581,53641,53602,54014
"19","All.Deaths",19,45,52299,53217,53512,55523
"20","All.Deaths",20,46,53165,53717,54651,55744
"21","All.Deaths",21,47,52801,54040,54805,56059
"22","All.Deaths",22,48,54158,54631,55013,55293
"23","All.Deaths",23,49,54569,55439,55902,57082
"24","All.Deaths",24,50,55275,57179,56327,57401
"25","All.Deaths",25,51,55971,59315,56462,57156
"26","All.Deaths",26,52,56644,60855,55937,58178
"27","All.Deaths",27,1,55135,64490,57991,59546
"28","All.Deaths",28,2,54801,65583,57970,59887
"29","All.Deaths",29,3,50681,62692,57715,58373
"30","All.Deaths",30,4,47882,60855,57366,57811
"31","All.Deaths",31,5,47899,58769,57527,57298
"32","All.Deaths",32,6,48144,58381,57266,57638
"33","All.Deaths",33,7,47438,57021,56693,56943
"34","All.Deaths",34,8,46976,54969,56576,56878
"35","All.Deaths",35,9,44155,53586,56460,57103
"36","All.Deaths",36,10,43236,53326,56519,56652
"37","All.Deaths",37,11,42044,51808,54932,54704
"38","All.Deaths",38,12,41903,50273,53399,54810
"39","All.Deaths",39,13,39443,47793,52605,58120
"40","All.Deaths",40,14,37720,45933,51050,65610
"41","All.Deaths",41,15,35808,42346,47875,69880
"42","All.Deaths",42,16,30308,34823,43248,62998
"43","All.Deaths",43,17,NA,NA,33399,47526
"44","All.Deaths",44,18,NA,NA,NA,21983
"45","pi.deaths",1,27,2919,2838,2777,2873
"46","pi.deaths",2,28,2932,3044,2782,2780
"47","pi.deaths",3,29,2767,2757,2712,2684
"48","pi.deaths",4,30,2804,2848,2704,2768
"49","pi.deaths",5,31,2847,2689,2663,2739
"50","pi.deaths",6,32,2826,2725,2682,2646
"51","pi.deaths",7,33,2861,2691,2618,2610
"52","pi.deaths",8,34,2822,2758,2717,2603
"53","pi.deaths",9,35,2867,2715,2633,2625
"54","pi.deaths",10,36,2877,2835,2745,2591
"55","pi.deaths",11,37,3093,3022,2763,2529
"56","pi.deaths",12,38,3015,2948,2823,2723
"57","pi.deaths",13,39,2976,2904,2822,2790
"58","pi.deaths",14,40,3030,3029,2976,2725
"59","pi.deaths",15,41,3179,3017,2873,2786
"60","pi.deaths",16,42,3160,3181,3000,3000
"61","pi.deaths",17,43,3122,3298,3081,3019
"62","pi.deaths",18,44,3093,3243,3023,2945
"63","pi.deaths",19,45,3199,3216,3047,3097
"64","pi.deaths",20,46,3162,3360,3162,3136
"65","pi.deaths",21,47,3242,3238,3202,3051
"66","pi.deaths",22,48,3497,3559,3310,3051
"67","pi.deaths",23,49,3599,3622,3439,3412
"68","pi.deaths",24,50,3756,3901,3585,3572
"69","pi.deaths",25,51,3745,4323,3560,3486
"70","pi.deaths",26,52,4173,5043,3762,3704
"71","pi.deaths",27,1,4396,6161,4094,4467
"72","pi.deaths",28,2,4278,6915,4250,4540
"73","pi.deaths",29,3,4110,6814,4285,4420
"74","pi.deaths",30,4,3813,6425,4114,4292
"75","pi.deaths",31,5,3767,5945,4145,4160
"76","pi.deaths",32,6,3773,5616,4143,4178
"77","pi.deaths",33,7,3810,5425,4217,4217
"78","pi.deaths",34,8,3805,4981,4289,4106
"79","pi.deaths",35,9,3505,4412,4125,4276
"80","pi.deaths",36,10,3444,4227,4069,4350
"81","pi.deaths",37,11,3137,3890,4172,4308
"82","pi.deaths",38,12,3012,3707,3981,4717
"83","pi.deaths",39,13,2856,3496,3816,6106
"84","pi.deaths",40,14,2624,3282,3524,9390
"85","pi.deaths",41,15,2408,2769,3219,10879
"86","pi.deaths",42,16,1967,2098,2774,9121
"87","pi.deaths",43,17,NA,NA,2013,5833
"88","pi.deaths",44,18,NA,NA,NA,1637
